symbol	P5482_SR_01	P5482_SR_02	P5482_SR_05	P5482_SR_06	P5482_SR_08	P5482_SR_09	P5482_SR_10	P5482_SR_11	P5482_SR_12	P5482_SR_13	P5482_SR_14	P5482_SR_15
Gm20644	0	5	1	0	6	0	4	5	3	1	1	8
Gm20646	0	0	0	0	0	0	1	0	0	0	0	0
Gm20647	0	0	0	0	0	0	0	0	0	0	0	4
Gm20648	3	2	1	0	0	0	3	0	2	0	0	0
Gm20649	0	0	0	0	0	0	0	0	0	0	0	0
Gm2065	2	3	3	10	17	0	8	3	6	9	19	10
Gm20650	0	0	0	0	0	0	0	0	0	0	0	0
Gm20651	0	1	1	0	0	0	0	0	3	0	0	0
Gm20652	8	2	22	14	35	0	16	2	17	5	15	9
Gm20655	8	12	5	0	4	8	2	0	7	2	6	21
Gm20656	0	0	0	0	0	0	0	0	0	2	0	1
Gm20657	1	0	0	0	0	0	0	0	0	0	0	0
Gm20658	282	138	166	215	126	188	164	219	632	1165	494	1865
Gm20659	0	0	0	0	0	0	0	0	0	0	0	0
Gm2066	0	0	0	0	0	0	0	0	0	0	0	0
Gm20660	0	0	0	0	0	0	0	0	0	0	0	0
Gm20661	0	3	7	0	11	0	28	0	25	24	25	30
Gm20662	0	0	0	0	1	0	0	0	0	0	0	0
Gm20663	0	0	0	0	0	0	0	0	0	0	0	0
Gm20667	124	95	73	47	108	42	118	50	100	59	152	60
Gm20670	0	0	0	0	0	0	0	0	0	1	0	0
Gm20671	0	0	0	0	0	0	0	0	2	0	0	0
Gm20672	0	0	0	0	0	0	0	0	0	0	0	0
Gm20673	0	0	0	0	0	0	0	0	0	0	0	0
Gm20674	0	0	0	0	0	0	0	0	0	0	0	0
Gm20675	0	0	0	0	0	0	0	0	2	1	0	0
Gm20679	0	0	0	0	0	0	0	0	0	0	0	0
Gm20681	1	8	18	0	14	13	22	20	22	26	18	24
Gm20682	5	2	1	0	17	5	8	5	0	5	6	2
Gm20683	0	0	0	0	0	0	0	0	0	1	0	0
Gm20684	1	0	0	0	0	0	0	0	0	6	0	0
Gm20685	0	0	0	0	0	0	0	0	0	0	0	0
Gm20686	1	0	0	0	1	0	1	0	0	0	0	5
Gm20687	0	0	0	0	0	0	0	0	2	0	0	0
Gm20688	0	0	0	0	0	0	0	0	0	0	0	0
Gm20689	9	64	47	78	52	55	44	62	45	143	68	134
Gm20690	0	0	0	0	0	0	0	0	0	0	0	0
Gm20691	0	2	1	1	5	0	14	2	4	10	6	9
Gm20692	38	13	7	8	33	21	26	13	8	30	22	20
Gm20693	8	6	1	0	5	0	0	0	0	7	7	5
Gm20694	0	0	0	0	1	0	0	0	0	0	0	0
Gm20695	1	4	3	4	8	0	16	4	9	10	6	5
Gm20696	44	3	6	31	22	11	10	24	27	22	11	11
Gm20700	0	0	0	0	0	0	2	0	1	0	0	0
Gm20701	0	8	1	0	6	0	16	0	1	9	4	4
Gm20702	9	0	1	0	1	8	1	0	1	4	1	6
Gm20703	396	132	272	63	155	113	172	105	162	178	299	189
Gm20705	36	12	3	0	6	23	6	9	20	24	9	4
Gm20706	0	0	0	0	0	0	3	0	0	1	0	0
Gm20707	550	191	240	135	332	120	279	127	246	233	380	225
Gm20708	0	0	0	0	0	0	0	2	0	1	1	1
Gm2071	0	0	0	0	0	0	0	0	1	0	1	0
Gm20711	0	0	0	0	0	0	0	0	0	0	0	0
Gm20712	127	94	86	21	86	70	104	65	107	121	125	112
